dag_id,uuid,sub_time,arrival_time,start_exec_time,finish_exec_time,exec_time,leave_time,completion_time,response_time
e51753c7-3ef3-4404-a352-11a18e5760c9,3289d994-0853-4c83-90e4-ec72d1431428,1754829015.1290257,1754829015.1306837,1754829349.585795,1754829405.798826,56.21303105354309,1754829405.8021834,390.6681423187256,390.67315769195557
8f80e01c-1296-4371-9486-bb3d68651a60,cd50a192-322a-4f4e-aad6-71f7cb61fe27,1754829031.4693458,1754829031.4709747,1754829405.806684,1754829459.8922803,54.085596323013306,1754829459.894927,428.4213056564331,428.42558121681213
6359a0b1-8f7b-499b-9336-840f9ab90688,a87a3b1d-f82b-404c-8914-c30e36b7f71d,1754829064.9520912,1754829064.9537342,1754829459.9001648,1754829514.4410596,54.540894746780396,1754829514.4431674,449.4873254299164,449.4910762310028
9ca9bc20-1a0b-4076-9937-7724e3491cf8,1d119e1f-bef3-4f5f-a73d-464ad44f44af,1754829090.4250388,1754829090.4267476,1754829514.449201,1754829588.7528238,74.30362272262573,1754829588.7541215,498.3260762691498,498.32908272743225
7245af7c-404e-4d60-9ef4-94ed301e5315,7b498b61-2b71-49b7-b2e1-31d509e2557e,1754829105.9210122,1754829105.9226353,1754829588.7616613,1754829632.2351213,43.47345995903015,1754829632.2358625,526.3124859333038,526.3148503303528
d89733a3-7d86-4ed8-b5a3-bf4831b06e3c,633f07ea-8e37-4f28-9491-d39cd29d5116,1754829148.550377,1754829148.552487,1754829632.2442465,1754829677.9488611,45.70461463928223,1754829677.949028,529.3963742256165,529.3986511230469
9ca9bc20-1a0b-4076-9937-7724e3491cf8,ec0a7b25-9fca-4188-b94c-aada2eaa28b0,1754829155.3177514,1754829155.318947,1754829677.9574182,1754829752.4720044,74.51458621025085,1754829752.4713848,597.1530573368073,597.1536333560944
4aad72a9-5c5a-493b-8ea6-29a5986a1766,fc9b5d09-f336-4f42-a29b-0eaa151063fa,1754829786.9403954,1754829786.9420233,1754829787.126271,1754829820.525585,33.39931392669678,1754829820.5285888,33.58356165885925,33.58819341659546
d62cbee6-47c7-4918-825d-3b73b1af7e85,15df30c0-6d9b-43fe-bd1c-fc8a2b057290,1754829170.8815823,1754829170.8832483,1754829752.4806187,1754829822.2602935,69.77967476844788,1754829822.2586052,651.3770451545715,651.3770229816437
6359a0b1-8f7b-499b-9336-840f9ab90688,f2d1cf55-db9c-4c1f-b4bf-0e32e02f146f,1754829191.4346576,1754829191.4363132,1754829822.2624621,1754829879.2740645,57.0116024017334,1754829879.271625,687.8377513885498,687.8369674682617
171dd6d2-d1d4-439b-8d4e-7507018a816b,4d05f238-26e3-4b2a-a001-8218822ad769,1754829218.8641715,1754829218.8657885,1754829879.2821867,1754829934.7521648,55.46997809410095,1754829934.7488732,715.8863763809204,715.8847017288208
8f80e01c-1296-4371-9486-bb3d68651a60,3dbe58c2-90e0-4cea-b7f9-993473a1ac26,1754829288.1405902,1754829288.14224,1754829934.7623723,1754829989.9881923,55.22582006454468,1754829989.9841976,701.8459522724152,701.8436074256897
7707f3dd-1aa6-42f5-847a-b66f3eaf2ee4,cbba4fe6-5c68-4fcd-8b84-0f6b815e3687,1754829298.1737835,1754829298.1751084,1754829989.9971464,1754830034.109533,44.11238670349121,1754830034.1047757,735.9344246387482,735.9309921264648
6359a0b1-8f7b-499b-9336-840f9ab90688,a7eb9233-6bdf-45e1-bd9a-1b7304595283,1754829330.6976783,1754829330.699346,1754830034.1166215,1754830085.2889216,51.17230010032654,1754830085.2835953,754.5895755290985,754.5859169960022
